intent,entity,answer
can_answer,salto,"Você pode usar salto de até 3 centímetros. Mais do que isso, aumenta a possibilidade de você cair devido à mudança de eixo no equilíbrio do corpo."
can_answer,japonesa,"O melhor é evitar comida japonesa, embora o peixe cru não transmita toxoplasmose, o ideal é evitar o alimento nessa fase – aliás, qualquer carne crua."
can_answer,dentista,"Não só pode como deve, caso ocorra algum problema nos dentes ou nas gengivas. Claro, na verdade, é muito importante ir ao dentista pois doenças bucais são associadas a parto prematuro e nascimento de bebês com baixo peso. Sempre informe o seu dentista da sua situação para que ele possa tomar as devidas precauções."
can_answer,exercicios,"Geralmente, você pode sim fazer exercícios durante toda a gestação, porém sempre consulte o seu médico. Se você não praticava exercícios antes, prefira por atividades mais leves e se você já estava habituada procure diminuir um pouco o ritmo."
can_answer,alcool,"Não há uma dose segura de álcool para gestantes, portanto não é recomendado. Bebida alcoólica pode acarretar prejuízos ao bebê."
can_answer,drogas,Não é permitido o uso de álcool ou qualquer outra droga pois podem prejudicar o bebê.
can_answer,cigarro,"Fumar pode causar má formação placentária e aumenta a chance de o bebê nascer antes do tempo e com baixo peso. Além disso, você corre o risco de ter trombose venosa profunda – o que pode levar à morte. Por isso, se você é fumante, é de extrema importância que você tente para durante esse período."
can_answer,raio x,Você pode fazer esse tipo de exame já que a dose de radiação é mínima mas é sempre bom avisar o técnico que realiza o exame pois em alguns casos é possível utilizar um avental para te proteger da radiação.
can_answer,sexo,"Pode sim, durante a gestação está liberado ter relações sexuais. Já após o parto, durante o período do puerpério, não é permitido."
can_answer,medicamento,
which_answer,exames,"Os principais exames feito no pré-natal são:
- Fezes
- Glicemia
- Grupo sanguíneo e fator Rh
- Hemograma completo
- Papanicolau
- Reação à toxoplasmose e rubéola
- Sorologia para HIV
- Sorologia para hepatites virais
- Sorologia para citomegalovírus (CMV)
- Ultrassonografia
- Urina
Se quiser saber mais sobre algum exame em especifico é só me perguntar :)"
which_answer,cuidados,
which_answer,sinais_parto,"Bom, os sinais variam muito mas podem começar com dores na região lombar que se irradiam para o abdômen, deixando a barriga dura mais ou menos a cada meia hora – são as famosas contrações. Se você sentir duas contrações de 40 segundos a um minuto e meio no período de dez minutos aí pode ser que você esteja entrando mesmo em trabalho de parto. Em alguns casos, o trabalho de parto se anuncia com um discreto sangramento genital ou ainda com a rotura da bolsa. Outro sinal importante é a dilatação do colo uterino acima de 2 centímetros, mas isso só o seu médico pode observar."
goal_exam,fezes,"O exame de fezes investiga a presença de parasitas no intestino que podem provocar anemia, entre outros problemas."
when_exam,fezes,"Deve ser feito no início da gravidez e caso durante os nove meses, se necessário."
goal_exam,glicemia,"O exame de glicemia, conhecido popularmente como glicemia em jejum, é solicitado pelo ginecologista para medir a quantidade de glicose presente na corrente sanguínea, o que permite identificar eventuais quadros de intolerância à glicose e diabetes.
Se as taxas estiverem muito acima do normal, pode ser que a mulher esteja com diabetes gestacional, que exige cuidado e atenção especial, pois pode comprometer a gravidez.

O exame costuma ser feito em jejum de 8 horas, em que é medida a quantidade de glicose quando não houve ingestão recente de alimentos. Ele pode ser feito durante a chamada curva glicêmica — duas horas após a ingestão de alimentos."
when_exam,glicemia,"geralmente, logo no início da gravidez. Deve ser repetido na 26ª semana, fase em que o corpo da gestante já encontra mais dificuldade em absorver o açúcar."
